well,rows,known_rows,target_rows,target_md_span,target_tvt_span,target_gr_missing_rate,rmse,mae,bias,p95_abs_error,max_abs_error
a959858c,5770,1366,4404,4403.0,90.53000000000065,0.6139872842870118,1465.9700768903067,1257.8340781116099,1257.8340781116099,2419.6400000015215,2552.6600000016024
f6d009f4,8003,1288,6715,6714.0,84.47999999999956,0.3231571109456441,1434.249356903361,1235.7621146720744,1235.7621146720744,2341.3080000064997,2467.9700000068424
25050f63,7155,1031,6124,6123.0,48.36000000000058,0.04996734160679295,1167.3859927641797,1004.1170966748595,1004.1170966748595,1939.5390000114285,2043.0600000120303
884ecb5f,8054,1330,6724,6723.0,45.48999999999978,0.03896490184414039,284.897154207709,252.47415823816505,-252.47415526374508,456.85799999814174,481.03999999804364
684a6fc1,11449,1631,9818,9817.0,37.979999999997744,0.5022407822367081,264.7422663360184,223.1822845757861,223.15529944641796,461.2704999932135,485.4699999928562
521a7819,7224,2024,5200,5199.0,42.14000000000124,0.15788461538461537,263.9313763170568,231.12329999981154,231.12329999981154,417.56299999964114,432.72999999962303
fb03ae90,8129,1698,6431,6430.0,50.76000000000022,0.16902503498678276,259.2835555771078,215.82625408155673,-215.82625408155673,445.98999999955504,479.6699999995308
57f05c51,6478,1707,4771,4770.0,63.82999999999993,0.05805910710542863,254.36085762503728,222.35371620187988,-222.35371620187988,394.43499999966116,398.1099999996586
b95e7121,7492,1186,6306,6305.0,11.399999999999636,0.06660323501427212,253.2883604908847,218.81237552020053,218.81237552020053,416.5125000091534,440.0200000096338
7271dd80,5765,1425,4340,4339.0,12.80999999999949,0.04216589861751152,244.27242023342995,209.10155299223175,-209.10155299223175,405.17399999399913,425.37999999368367
eba6605e,5719,1309,4410,4409.0,26.599999999998545,0.22630385487528346,241.262035412675,207.80473922982648,207.80473922982648,393.4650000015244,415.63000000160355
7c607683,7001,1673,5328,5327.0,27.020000000000437,0.36373873873873874,231.568848116837,197.9191009757829,-197.9191009757829,400.54149999963226,429.4699999996137
466fc788,7767,1570,6197,6196.0,37.9900000000016,0.4797482652896563,229.43422601956843,198.84805228178504,-198.84805228178504,375.94399999700255,394.23999999684565
bd2c2f34,11621,1798,9823,9822.0,24.73999999999978,0.6298483151786624,227.76471983528245,197.22925176037236,-197.22925176037236,365.67700000814926,388.62000000857734
ea3a0e38,11794,1742,10052,10051.0,33.4900000000016,0.5691404695582969,225.91125143553532,197.44727417868245,-197.44727417868245,371.197000008337,388.3600000087772
d085e611,7852,1661,6191,6190.0,36.44000000000051,0.4811823614924891,217.6052687190005,187.33943466164337,-187.32577612505716,342.52499999700285,359.4599999968468
57796579,7622,1732,5890,5889.0,29.269999999998618,0.06723259762308999,214.9165017639496,186.46312903611647,-186.46312903611647,355.47850000732825,373.780000007715
5305524b,6457,1559,4898,4897.0,33.0099999999984,0.35443037974683544,210.62345513938945,181.34502449961832,-181.34502449961832,343.66649999966137,370.21999999964464
445af6c2,7998,1957,6041,6040.0,39.06000000000131,0.1607349776527065,203.3468597147815,177.68523423054427,177.68523423054427,322.60999999582236,337.7599999956037
ab18d3fc,7337,1643,5694,5693.0,37.07000000000153,0.31383912890762206,180.2584103859619,154.8240428500537,154.8236845781884,295.09749999606515,310.79999999585743
d90aa14c,12141,2123,10018,10017.0,48.81999999999971,0.3864044719504891,180.05750083440554,157.10470952613213,-157.06672390026517,279.90000000643187,289.21000000633467
f5859199,7438,1648,5790,5789.0,26.94999999999891,0.6721934369602763,179.51322946646647,159.18299654366118,-159.18299654366118,284.6599999961051,288.2999999957865
fbd68d27,8552,1723,6829,6828.0,38.94999999999891,0.2525992092546493,178.68713782298775,156.7077566229221,156.70775662292203,286.017999993862,292.6999999935397
94d813a4,6591,1744,4847,4846.0,61.44000000000051,0.28636269857643903,176.01798512216723,150.62188364201057,150.62188364201057,286.58400000502587,297.2200000052908
8f201368,8151,1802,6349,6348.0,45.409999999999854,0.4947235785163018,174.03191290484395,156.63391557425166,-156.63391557425166,271.0319999942934,285.58999999399384
353e5502,7901,1839,6062,6061.0,19.590000000000146,0.19844935664797098,173.10415708118762,150.49910260419392,150.49910260419392,280.23699999580884,304.039999995588
155887bb,7062,1477,5585,5584.0,35.159999999999854,0.2712623097582811,171.7848070598465,148.21630259928673,-148.21630259928673,284.28400000579023,305.8600000060942
91abc4c7,7787,1939,5848,5847.0,22.26000000000022,0.6109781121751026,169.37460756696564,148.12605334944635,148.1071580006071,282.2189999959563,298.519999995744
9d072e4c,6798,1691,5107,5106.0,26.979999999997744,0.14626982572939104,168.95041559619742,147.28244566616203,147.28244566616203,279.3230000063553,292.4100000066901
14a53cb3,8780,1861,6919,6918.0,20.36999999999898,0.13079924844630728,166.83625522557566,146.06749963540335,-146.06749963540335,278.0159999937828,288.53999999345615
82aab6d2,7889,1749,6140,6139.0,28.349999999998545,0.4190553745928339,165.36711907637155,138.66265309778876,-138.00529804895314,278.3625000063653,293.32000000670087
974802e7,7537,1694,5843,5842.0,53.67000000000007,0.5676878315933596,164.6910585632422,144.61288721334572,144.61288721334572,245.78999999618264,259.89999999574866
c1d046f4,6917,1404,5513,5512.0,21.3700000000008,0.014511155450752766,162.2168604972852,142.10517141101803,-142.1046490094214,258.2359999961889,266.76999999598775
bcebcc5f,7889,1631,6258,6257.0,37.69000000000051,0.4852988175135826,160.22398490445048,133.7013870223566,133.62203898781632,261.41299999567565,275.24999999544707
fb73b13a,7465,1825,5640,5639.0,31.019999999998618,0.4015957446808511,159.2164504605078,136.9243102816537,136.87039184192002,255.55349999610291,271.29999999589745
9bd2bba3,9092,1653,7439,7438.0,22.409999999999854,0.037639467670385805,158.71539663218337,134.100443604529,133.9143755845984,268.3839999933143,293.80999999296364
ac6f01d5,6729,1725,5004,5003.0,32.69000000000051,0.02697841726618705,158.45061543663522,137.5764448423057,137.56417066164906,251.0539999965417,265.33999999636035
0bbf5e67,6031,1733,4298,4297.0,31.1299999999992,0.5274546300604932,156.9684931857594,133.2514797574024,-133.2514797574024,262.21049999881285,279.9599999987495
15e154a1,7699,1631,6068,6067.0,36.95999999999913,0.48599208965062624,156.28669577562778,129.765009885755,129.67678312238047,262.02899999580666,285.76999999558393
6a0ff78e,7890,1425,6465,6464.0,43.75,0.04021655065738593,155.76336385096266,131.1983944343591,131.00606651481047,261.92200000536246,274.77000000564476
4a335117,6727,1712,5015,5014.0,47.29000000000087,0.2875373878364905,155.4199778700251,127.99025124498394,127.98972881228123,251.85299999771104,254.27999999744497
1131525f,5548,1389,4159,4158.0,23.01000000000022,0.35393123346958405,154.56560230332244,132.73997835957758,132.73997835957758,255.31599999884983,268.0899999987905
939d9c34,6627,1526,5101,5100.0,67.52000000000044,0.4348167026073319,154.356626835639,132.29735738368905,132.29735738368905,241.11000000479726,244.61000000493732
46a301e9,9962,1736,8226,8225.0,18.44000000000051,0.4564794553853635,151.60339949760814,133.0737989254318,133.0737989254318,247.3524999909023,259.2999999904223
1beca81d,6650,1614,5036,5035.0,25.30999999999949,0.47934868943606035,150.79421850893485,129.63580420785675,129.63580420785675,235.9949999965179,254.81999999633445
1a518997,6544,1938,4606,4605.0,14.720000000001164,0.4066435084672167,150.05098291919586,127.71555362453145,127.71555362453145,251.2374999977701,261.6199999976525
efde6ac3,6220,1661,4559,4558.0,26.719999999997526,0.4073261680193025,149.72245960573275,129.4023491982243,-129.3838012710461,235.40699999779312,254.69999999767606
5def1ce5,7997,1554,6443,6442.0,27.350000000000364,0.027161260282477107,147.5637021322155,126.48903150401343,126.48903150401343,247.58599999421037,260.7599999939048
fd8f77fa,6756,1484,5272,5271.0,41.79999999999927,0.5058801213960546,146.71446418022092,130.71615705365215,-130.71615705365215,218.55999999528512,221.3499999950127
37d36812,6017,1650,4367,4366.0,33.92000000000007,0.2518891687657431,146.40518253414123,129.04898328213037,-129.04898328213037,228.69299999698214,250.9799999968236
9a8ae0d6,7835,1541,6294,6293.0,26.81999999999971,0.5111217032094058,145.57062945862435,123.53734985975417,-123.5372958400529,249.2815000052205,264.8300000054951
028d7b28,7761,1527,6234,6233.0,26.23999999999978,0.23307667629130574,144.9944082237838,126.5068286841463,126.5068286841463,234.1945000051713,248.50000000544242
5f6756c5,8064,2133,5931,5930.0,21.339999999998327,0.03237228123419322,141.692331540063,125.2891047012925,-125.2891047012925,227.15499999467193,235.18999999439075
91b301ce,8512,1942,6570,6569.0,121.84000000000015,0.14657534246575343,140.95390865002008,111.84792237648344,110.39976712543964,266.4330000040876,288.1200000043027
a0383629,7687,1855,5832,5831.0,17.219999999997526,0.546639231824417,140.45100229752714,123.54866083400472,123.54866083400472,220.81799999476016,232.33999999448497
389ae58f,8201,1738,6463,6462.0,68.5,0.1954200835525298,140.0715650463152,114.15106761912732,113.78786786674814,248.2910000067004,271.4000000070537
4f3eb9e9,5911,1214,4697,4696.0,61.32000000000153,0.049819033425590804,140.03830315278782,116.9448094506217,-116.94343410465584,225.88399999578067,231.73999999555963
96b7eea1,6078,1746,4332,4331.0,15.630000000001019,0.38550323176361956,139.8145374641048,117.89240997119667,117.88934441256224,233.45149999790445,246.73999999779335
3a86fe8d,6572,1454,5118,5117.0,18.539999999999054,0.47811645173896056,137.4644750266076,117.42894685703335,-117.42154552839035,236.30900000530727,252.76000000558815
8bda1a11,7438,1457,5981,5980.0,46.36000000000058,0.5472329041966226,136.69383585973569,121.96581341174081,121.96361979863367,208.61000000496279,220.44000000522283
d1ee630d,7879,1589,6290,6289.0,19.19999999999891,0.4271860095389507,136.08383180634885,114.55608902723282,114.55608902723282,230.00299999434924,242.59999999405045
43b06c70,6590,1744,4846,4845.0,17.220000000001164,0.1648782501031779,135.9219885682827,114.33002269738478,114.16991126526176,227.97249999665064,239.6199999964756
f6824bb0,6864,1849,5015,5014.0,37.43999999999869,0.15154536390827517,135.86892127261908,118.0745523451613,118.0745523451613,213.43900000415925,226.3000000043794
b7cdcecb,7620,1452,6168,6167.0,25.409999999999854,0.425745784695201,134.0250421471374,116.0444893023037,116.0444893023037,210.55000000509227,226.370000005385
