data_hash,mask_type,baseline,family,tail_window,splits,wells,target_rows,row_weighted_rmse,row_weighted_mae,mean_split_rmse,median_split_rmse,worst_split_rmse,mean_bias
unknown,high_curvature,B0_constant_last,B0,,773,773,1018445,99.02176670674326,51.22742112730682,60.078486046441704,10.69027824604087,442.214457241131,-52.21315388200635
unknown,high_curvature,B2_tail_slope_k50,B2,50.0,773,773,1018445,208.52648383793488,98.01000573426265,125.27354452042889,21.062466918896266,735.882941506347,90.92342438448796
unknown,high_curvature,B2_tail_slope_k100,B2,100.0,773,773,1018445,219.95292263430176,104.07287228073874,132.3118919008488,21.986516160216762,762.5507417027937,97.50602464321503
unknown,high_curvature,B2_tail_slope_k200,B2,200.0,773,773,1018445,242.98525640404702,116.8505386250048,147.76857038147799,21.915208310603756,808.7134787706889,111.49556539356459
unknown,high_curvature,B2_tail_slope_k500,B2,500.0,773,773,1018445,296.17450977991706,146.23402286326836,181.58234539637283,21.48359321115206,876.0594799993248,142.33790045175263
unknown,high_curvature,B1_linear_md,B1,,773,773,1018445,409.452258744135,309.6812652055183,342.0423976083111,287.84906346107863,1008.3698259929257,304.7457415898214
unknown,high_gr_missing,B0_constant_last,B0,,773,773,1273066,39.786907265860066,12.901700461719996,15.146048003870357,6.682355510884616,415.3935947689674,-7.877382713586666
unknown,high_gr_missing,B2_tail_slope_k50,B2,50.0,773,773,1273066,102.89797826125911,37.22285214585912,44.89215860368267,16.44430474192867,691.3235398919333,24.24884626439649
unknown,high_gr_missing,B2_tail_slope_k100,B2,100.0,773,773,1273066,110.1942318388719,40.66851304637119,48.668762788423635,17.5374396853863,666.6862264596878,27.82354225408126
unknown,high_gr_missing,B2_tail_slope_k200,B2,200.0,773,773,1273066,130.9012667133338,50.66649444717514,59.675486240947194,18.380005393051423,733.6319983356584,37.844292577454226
unknown,high_gr_missing,B2_tail_slope_k500,B2,500.0,773,773,1273066,207.63205875211338,85.67328134593973,97.58724487789094,17.713285903369446,862.1701018482671,73.55819943386125
unknown,high_gr_missing,B1_linear_md,B1,,773,773,1273066,499.8642935874256,388.7515954655589,409.589552424599,337.61098014153833,1385.7410958724097,379.0337214652671
unknown,mid_contiguous,B0_constant_last,B0,,773,773,888302,8.433303749934815,5.658518296705382,6.438788313655661,5.241976423074857,95.44568591587371,-0.22124360590784176
unknown,mid_contiguous,B2_tail_slope_k500,B2,500.0,773,773,888302,15.968427010206497,9.970436844546963,10.95836760112885,8.061319951981472,107.95884490382619,0.46812896848498664
unknown,mid_contiguous,B2_tail_slope_k200,B2,200.0,773,773,888302,16.84965688224483,10.36000977137411,11.41836204576255,8.450681061456335,82.22999204063329,-0.11366275208176213
unknown,mid_contiguous,B2_tail_slope_k50,B2,50.0,773,773,888302,16.951171276876785,10.45679574060099,11.632217502507677,8.352883295986109,75.7422326535606,-0.09167051405359679
unknown,mid_contiguous,B2_tail_slope_k100,B2,100.0,773,773,888302,17.16528315349783,10.658545584669898,11.788857459334722,8.73034487254746,69.69375381211343,-0.020143993990100053
unknown,mid_contiguous,B1_linear_md,B1,,773,773,888302,288.096471932896,255.76282747187696,256.6660519962743,243.62967447191977,669.8006542921005,248.71442564438777
unknown,original_hidden,B0_constant_last,B0,,773,773,3783989,15.909852870734554,11.196479701711613,12.812466352749581,10.665140786694133,70.63937461968057,-1.4231788369257314
unknown,original_hidden,B2_tail_slope_k50,B2,50.0,773,773,3783989,112.55741571878953,55.96105916786905,60.12475392468492,39.442947629168195,1415.1164859899156,3.6395831294760805
unknown,original_hidden,B2_tail_slope_k100,B2,100.0,773,773,3783989,116.2574469571134,55.444992942302214,59.522506980687545,37.24935735581798,1440.543210118655,3.4468405679405016
unknown,original_hidden,B2_tail_slope_k200,B2,200.0,773,773,3783989,119.93329606256171,53.68043854503403,57.7499021735974,36.50899923584182,1465.9700768903067,4.211730606837064
unknown,original_hidden,B2_tail_slope_k500,B2,500.0,773,773,3783989,155.28489542762946,57.56840081442673,61.940243869983824,36.54416981543749,1909.9359306418098,16.34328300008584
unknown,original_hidden,B1_linear_md,B1,,773,773,3783989,1404.728336096972,1196.2018529508616,1258.170358229461,1239.2824308746451,3058.9182517922386,1128.244603729035
unknown,random_contiguous,B0_constant_last,B0,,773,773,1259444,28.918400730579943,11.925748608115956,13.896568924073032,7.01522777864292,286.76128270665134,-6.859221389548146
unknown,random_contiguous,B2_tail_slope_k50,B2,50.0,773,773,1259444,110.17737466221014,37.41849803561589,42.262908868529294,14.757317302664271,1021.1070631779922,20.804782491446
unknown,random_contiguous,B2_tail_slope_k100,B2,100.0,773,773,1259444,120.23604564241897,40.039318421411835,45.23845222635334,14.376854900276884,1065.708484691157,23.92373462596863
unknown,random_contiguous,B2_tail_slope_k200,B2,200.0,773,773,1259444,148.22492459478093,46.804263587630345,52.5612122711007,14.732217286515155,1303.6966651417683,31.94172945135006
unknown,random_contiguous,B2_tail_slope_k500,B2,500.0,773,773,1259444,202.91272640759306,69.02453183296603,77.56705221591415,14.811685022686383,1318.5758602620951,55.189620783794496
unknown,random_contiguous,B1_linear_md,B1,,773,773,1259444,461.4890231879412,357.7231112963301,366.7650810943497,301.1766900807562,1376.9150451657324,341.48961759989095
unknown,trailing_long,B0_constant_last,B0,,773,773,2930108,14.932863564629915,9.770602970948525,11.639911895093329,9.56340138765435,245.13609125642574,-0.8742919149685918
unknown,trailing_long,B2_tail_slope_k50,B2,50.0,773,773,2930108,66.37293462862758,35.774862431589895,40.22757380150305,28.138303385213646,1028.137448787651,4.4096278779617135
unknown,trailing_long,B2_tail_slope_k100,B2,100.0,773,773,2930108,66.73264894085683,35.96912861220608,40.35841036777947,27.443804929632805,952.0332096785562,5.16632257395086
unknown,trailing_long,B2_tail_slope_k200,B2,200.0,773,773,2930108,67.64139936993597,35.54473812875421,39.897346188265736,25.90905891678355,952.0332096785562,6.044673156191323
unknown,trailing_long,B2_tail_slope_k500,B2,500.0,773,773,2930108,89.6189101879611,36.33033685081699,41.20070133942027,24.354894012086064,1256.5220083272281,9.420708085016992
unknown,trailing_long,B1_linear_md,B1,,773,773,2930108,729.6201233349645,581.1143421828538,595.9818260385174,517.6048531725642,2091.0217233364688,547.1228106351414
