split_id,well,mask_type,start_row,end_row,target_rows,known_rows_before,known_allowed_start_row,known_allowed_end_row,md_span,tvt_span,gr_missing_rate,local_slope_mean,local_slope_std,curvature_proxy,mask_seed
original_hidden__000d7d20__1442_5277,000d7d20,original_hidden,1442,5277,3836,1442,0,1441,3835.0,15.200000000000728,0.47340980187695514,-0.0026258148631029227,0.012589787508099035,0.005088680229911548,20260620
trailing_short__000d7d20__3968_5277,000d7d20,trailing_short,3968,5277,1310,3968,0,3967,1309.0,2.4799999999995634,0.3900763358778626,0.00012223071046589342,0.0072276336637683986,0.004892966361121608,20260620
trailing_long__000d7d20__2263_5277,000d7d20,trailing_long,2263,5277,3015,2263,0,2262,3014.0,14.700000000000728,0.4583747927031509,-0.004051094890511263,0.012607022029076017,0.0050049784272016675,20260620
mid_contiguous__000d7d20__2664_3400,000d7d20,mid_contiguous,2664,3400,737,2664,0,2663,736.0,4.859999999998763,0.5223880597014925,0.003016304347825197,0.011674002863783386,0.006054421769057422,20260620
random_contiguous__000d7d20__2097_3759,000d7d20,random_contiguous,2097,3759,1663,2097,0,2096,1662.0,8.880000000001019,0.5069152134696332,-0.004897713598075353,0.014805855740442634,0.005388320289377221,20260620
high_gr_missing__000d7d20__939_2258,000d7d20,high_gr_missing,939,2258,1320,939,0,938,1319.0,5.68999999999869,0.5727272727272728,-0.0015466262319932178,0.015880640902893955,0.005257966616584799,20260620
high_curvature__000d7d20__2160_3215,000d7d20,high_curvature,2160,3215,1056,2160,0,2159,1055.0,8.420000000000073,0.5018939393939394,-0.0031184834123213784,0.017131777783472232,0.0060815939282491144,20260620
original_hidden__00bbac68__1545_7558,00bbac68,original_hidden,1545,7558,6014,1545,0,1544,6013.0,50.18999999999869,0.13834386431659462,-0.0011242308331947811,0.12187200525273742,0.008088822355780343,20260620
trailing_short__00bbac68__6393_7558,00bbac68,trailing_short,6393,7558,1166,6393,0,6392,1165.0,25.959999999999127,0.08919382504288165,0.022283261802574356,0.010920175587162252,0.005266323024705944,20260620
trailing_long__00bbac68__3079_7558,00bbac68,trailing_long,3079,7558,4480,3079,0,3078,4479.0,50.18999999999869,0.12589285714285714,-0.002761777182406966,0.14096099290877165,0.009330058062171808,20260620
mid_contiguous__00bbac68__2850_4503,00bbac68,mid_contiguous,2850,4503,1654,2850,0,2849,1653.0,13.950000000000728,0.13724304715840388,0.00525710828796159,0.01649975212883978,0.005484261501644172,20260620
random_contiguous__00bbac68__3148_5600,00bbac68,random_contiguous,3148,5600,2453,3148,0,3147,2452.0,21.100000000000364,0.13289849164288625,-0.004828711256117515,0.18812484580617853,0.012831497348401489,20260620
high_gr_missing__00bbac68__1419_3308,00bbac68,high_gr_missing,1419,3308,1890,1419,0,1418,1889.0,12.260000000000218,0.17037037037037037,0.006336686077289225,0.014158033178011441,0.00474046610205563,20260620
high_curvature__00bbac68__3051_4562,00bbac68,high_curvature,3051,4562,1512,3051,0,3050,1511.0,14.710000000000946,0.13558201058201058,-0.0021707478491069855,0.23909336798595288,0.01783443708648923,20260620
original_hidden__00e12e8b__2083_6383,00e12e8b,original_hidden,2083,6383,4301,2083,0,2082,4300.0,29.590000000000146,0.09718670076726342,-0.001974418604651112,0.029637881111086655,0.005531518958417352,20260620
trailing_short__00e12e8b__4958_6383,00e12e8b,trailing_short,4958,6383,1426,4958,0,4957,1425.0,11.409999999999854,0.12482468443197756,-0.0057052631578941755,0.02850320031925047,0.006299157303770147,20260620
trailing_long__00e12e8b__2708_6383,00e12e8b,trailing_long,2708,6383,3676,2708,0,2707,3675.0,29.590000000000146,0.09874863982589771,-0.005240816326530177,0.030131963174935102,0.005547087643398827,20260620
mid_contiguous__00e12e8b__2685_3345,00e12e8b,mid_contiguous,2685,3345,661,2685,0,2684,660.0,8.43999999999869,0.08623298033282904,-0.011484848484848374,0.016308802627987437,0.004795144158192801,20260620
random_contiguous__00e12e8b__1018_2827,00e12e8b,random_contiguous,1018,2827,1810,1018,0,1017,1809.0,147.07000000000153,0.08011049723756906,0.08098396904367054,0.1285666366660786,0.00537057522183506,20260620
high_gr_missing__00e12e8b__4763_6358,00e12e8b,high_gr_missing,4763,6358,1596,4763,0,4762,1595.0,11.409999999999854,0.12030075187969924,-0.004708463949843397,0.027134166084729166,0.006179422836001304,20260620
high_curvature__00e12e8b__4980_6256,00e12e8b,high_curvature,4980,6256,1277,4980,0,4979,1276.0,11.409999999999854,0.1245105716523101,-0.0033934169278996293,0.02847765588250857,0.006525490196466254,20260620
original_hidden__015fe0d2__1654_5949,015fe0d2,original_hidden,1654,5949,4296,1654,0,1653,4295.0,38.61000000000058,0.3202979515828678,0.005576251455180612,0.01976432020972345,0.005060549604648065,20260620
trailing_short__015fe0d2__4688_5949,015fe0d2,trailing_short,4688,5949,1262,4688,0,4687,1261.0,12.110000000000582,0.2868462757527734,-0.007755749405234461,0.013254920556771759,0.00502380952423101,20260620
trailing_long__015fe0d2__1524_5949,015fe0d2,trailing_long,1524,5949,4426,1524,0,1523,4425.0,40.80000000000109,0.3163126976954361,0.0061084745762713345,0.01974176754520104,0.005024864376684349,20260620
mid_contiguous__015fe0d2__2585_3279,015fe0d2,mid_contiguous,2585,3279,695,2585,0,2584,694.0,20.1299999999992,0.260431654676259,0.02883285302593429,0.013396772104206879,0.004733044733838369,20260620
random_contiguous__015fe0d2__2616_4571,015fe0d2,random_contiguous,2616,4571,1956,2616,0,2615,1955.0,38.61000000000058,0.3512269938650307,0.018388746803069424,0.015825528155372675,0.005000000000674199,20260620
high_gr_missing__015fe0d2__3181_4668,015fe0d2,high_gr_missing,3181,4668,1488,3181,0,3180,1487.0,21.340000000000146,0.40725806451612906,0.011809011432413915,0.015157406769998733,0.004818304172912213,20260620
high_curvature__015fe0d2__1925_3114,015fe0d2,high_curvature,1925,3114,1190,1925,0,1924,1189.0,15.170000000000073,0.2647058823529412,0.0065685449957943575,0.023748749045592737,0.005648148148620534,20260620
original_hidden__01869cd4__1293_6849,01869cd4,original_hidden,1293,6849,5557,1293,0,1292,5556.0,39.0,0.5112470757603024,0.0006209503239738857,0.02871484679489793,0.005144914492009728,20260620
trailing_short__01869cd4__5494_6849,01869cd4,trailing_short,5494,6849,1356,5494,0,5493,1355.0,16.570000000001528,0.4778761061946903,-0.006642066420664207,0.02458844120207598,0.005007385524945011,20260620
trailing_long__01869cd4__2776_6849,01869cd4,trailing_long,2776,6849,4074,2776,0,2775,4073.0,23.100000000000364,0.5044182621502209,0.000822489565430529,0.026995124001408462,0.005137524558516073,20260620
mid_contiguous__01869cd4__3027_4651,01869cd4,mid_contiguous,3027,4651,1625,3027,0,3026,1624.0,22.709999999999127,0.5310769230769231,0.011231527093595924,0.0221856384366118,0.00518176216937449,20260620
random_contiguous__01869cd4__5770_6798,01869cd4,random_contiguous,5770,6798,1029,5770,0,5769,1028.0,16.570000000001528,0.46355685131195334,-0.008336575875487867,0.026259249708980224,0.00493670886130473,20260620
high_gr_missing__01869cd4__1881_3592,01869cd4,high_gr_missing,1881,3592,1712,1881,0,1880,1711.0,24.920000000000073,0.5689252336448598,0.011157218001168992,0.025847512966778084,0.005192982456607927,20260620
high_curvature__01869cd4__4245_5614,01869cd4,high_curvature,4245,5614,1370,4245,0,4244,1369.0,20.139999999999418,0.4832116788321168,-0.0045580715850997815,0.03244771749397505,0.005796783626361471,20260620
original_hidden__01982c1d__1646_5586,01982c1d,original_hidden,1646,5586,3941,1646,0,1645,3940.0,18.01000000000022,0.15808170515097691,-0.0028527918781725333,0.02200100724095338,0.005189134298520962,20260620
trailing_short__01982c1d__4995_5586,01982c1d,trailing_short,4995,5586,592,4995,0,4994,591.0,14.979999999999563,0.14020270270270271,-0.025346869712351207,0.017104431487050552,0.005915254237740972,20260620
trailing_long__01982c1d__1718_5586,01982c1d,trailing_long,1718,5586,3869,1718,0,1717,3868.0,18.01000000000022,0.15637115533729645,-0.0034591520165462818,0.02173876908161068,0.005213343677740962,20260620
mid_contiguous__01982c1d__2369_3349,01982c1d,mid_contiguous,2369,3349,981,2369,0,2368,980.0,8.0,0.17533129459734964,-0.006897959183675548,0.014419721328164508,0.005638406537584385,20260620
random_contiguous__01982c1d__2150_3703,01982c1d,random_contiguous,2150,3703,1554,2150,0,2149,1553.0,14.100000000000364,0.17631917631917632,-0.008886027044430839,0.014353929907541247,0.005270618557072752,20260620
high_gr_missing__01982c1d__1073_2469,01982c1d,high_gr_missing,1073,2469,1397,1073,0,1072,1396.0,11.020000000000437,0.2054402290622763,-0.0023137535816615783,0.024186278284537586,0.0044157706098834956,20260620
high_curvature__01982c1d__4469_5585,01982c1d,high_curvature,4469,5585,1117,4469,0,4468,1116.0,17.979999999999563,0.12444046553267682,-0.008037634408601564,0.026616256441292313,0.005802690583471308,20260620
original_hidden__028d7b28__1527_7760,028d7b28,original_hidden,1527,7760,6234,1527,0,1526,6233.0,26.23999999999978,0.23307667629130574,0.00013476656505697826,0.021101873700077642,0.005171694480550952,20260620
