well,rows,rmse,mean_abs_error,bias,alpha
5f4d2a52,5225,59.49182238446869,49.52150954717826,-49.51107544628176,1.0
2fd68f7b,4730,58.8138195551637,54.58239487996839,-54.58239487996839,1.0
ba48188d,4166,52.959601323698735,41.62375549253356,41.62375549253356,1.0
fef8af96,3826,48.17731660201433,40.381823196122724,40.32521649278157,1.0
43e16325,3720,44.28960476128953,36.611200304433936,-36.611200304433936,1.0
c8d9680c,6281,42.81860083377379,39.651699950138074,-38.32215128208384,1.0
57f05c51,4771,40.471197981742996,35.718210543315635,-35.718210543315635,1.0
94d813a4,4847,39.89055006197875,33.061098311391284,33.061098311391284,1.0
fb03ae90,6431,38.4011698603047,37.107972543545884,37.107972543545884,1.0
708caea9,6548,38.14742118622788,35.76379173755222,-35.53026631364972,1.0
445af6c2,6041,36.555802721225376,32.73964774419044,32.53568634389406,1.0
206b6193,6535,35.79708369041985,31.775091747608542,31.775091747608542,1.0
91b301ce,6570,35.44789282080843,22.790202887387675,14.161940238944661,1.0
4f3eb9e9,4697,34.63572453145632,26.38243171971592,-24.157505949318185,1.0
a959858c,4404,34.61564570986145,31.628184869712236,-31.628184869712236,1.0
ff0aea78,3261,32.697694712425466,30.75530700756134,-30.75530700756134,1.0
9d5e14d4,5400,32.00548564317395,29.810867096607435,29.810867096607435,1.0
8f201368,6349,31.88265700850901,30.32747118235282,-30.095473308055116,1.0
cf50c9d1,4858,30.62304196790373,29.21232591049475,29.21232591049475,1.0
521a7819,5200,30.230712743188306,27.96908385817407,27.889379354894974,1.0
da3bfe4e,5549,30.20824343453741,27.08718507839287,27.087159848621738,0.0
ab112491,5185,29.983248540220572,26.309152540340747,-26.264968788538546,1.0
86454a6f,7964,29.617770637772463,26.0069412347182,-26.003807131224775,0.0
896d15b9,4279,29.174091616826004,24.341857438007068,-22.942583778651294,1.0
fbd68d27,6829,28.77799286145607,26.254983194770396,26.19027173962666,1.0
35b30c7f,9579,28.66720099146687,26.729042805116222,26.729042805116222,1.0
fd8f77fa,5272,27.23358893606676,25.244103952342854,-25.244103952342854,1.0
95c8427f,6335,27.215687207592826,25.656356748224162,25.656356748224162,0.0
42c538a1,3279,26.874342936561284,23.847543651554997,-23.032819962228995,1.0
8bfa881d,4089,26.495123002323776,21.02808258096024,-20.320765101685762,1.0
ee288beb,4638,26.4130541357214,23.192252830157244,-18.554706006334705,1.0
f6d009f4,6715,25.365240463720667,22.282737311293836,-11.445463324993728,1.0
d7eb0be8,5401,25.043601577723468,21.660385625179003,-4.255811191567398,0.75
55efee7f,4801,24.96485040200042,21.339673797187903,16.868582115681658,1.0
c1708b88,6315,24.802625466457698,21.463488887106564,21.162361665963275,1.0
b37fd114,8161,24.63635155979315,21.966608733925657,-20.788612480406897,1.0
3f603129,5051,24.617518347683536,20.28888269702744,8.080951498210068,0.75
197f8a5a,6310,24.33935021920087,21.460232368224805,-19.719196257554007,1.0
37d36812,4367,23.76366668403234,21.57102288602492,-21.527529012331396,1.0
230eaaa3,4690,23.687315327915407,19.70507478740655,-10.55576592945915,1.0
ab18d3fc,5694,23.41429819561493,20.08871653600166,18.409245190904166,1.0
493b5b31,4671,23.365710453912964,20.865156305619973,-16.936264384175548,1.0
261785ee,3646,22.54795690510371,20.12130419169524,20.097770609894013,1.0
884ecb5f,6724,22.34683998951168,20.374090068683373,-20.167604062069632,1.0
1b1eba53,4655,21.9862875814792,20.439218047603983,-19.371205158965314,0.0
ae8959c3,4518,21.94852935346784,19.826027333991377,-19.780389790522882,1.0
46d24a09,4449,21.88935365787865,19.38826174930067,-19.330399533256397,1.0
c66be2b8,4154,21.847003445752875,16.26806085357129,14.56372212993754,1.0
f88ddb26,4990,21.80274226581851,18.459051203782785,9.235887917746181,0.25
b977be4a,5917,21.765148768770544,20.293044539917396,3.884862969534975,1.0
a08d9e63,3685,21.453823222903736,18.47281751088914,-18.47281751088914,1.0
f6824bb0,5015,21.343201739058706,18.817416005745745,18.377967968259604,1.0
6d6d93af,3595,21.25184294821609,18.21797101782085,2.037903542904853,0.5
1550491d,4563,21.167156242041475,19.816561472715875,19.81009642778932,0.0
8995c945,6724,20.888857648873337,17.937241783250983,-17.417766454718,1.0
460f859e,3336,20.87923140199737,17.8350453497363,2.545257367804659,1.0
d0cb63ae,5223,20.84048614451171,17.568953836199448,17.169839745951503,1.0
cbe62450,6258,20.827131198431047,18.05570940703927,-17.664280087261666,1.0
fa16d114,5686,20.815118518803075,17.92015476609229,16.341470277875704,0.0
4a335117,5015,20.802695288090217,18.26829224339835,-17.30640233344892,1.0
11d0f5ac,4883,20.756817015404394,17.901578857923322,-17.442830547918515,1.0
466fc788,6197,20.62575983358516,17.481047566083518,-15.602661349850937,1.0
ac6f01d5,5004,20.561377448967615,18.300834427645807,16.644464287546676,1.0
1b1c5372,4261,20.488525798030043,15.777453035709426,12.6788783671177,1.0
93f5d2e6,3691,20.10571368100563,13.079479815767476,13.045310214033405,0.0
bf70b410,6347,20.058874316228486,14.393068141338382,14.375336491807921,1.0
c59b6c4a,5499,19.88748386664085,17.4899454226557,17.4899454226557,1.0
e5864244,4469,19.804129857831242,16.084070795578487,12.701912392192897,0.75
95b559e7,2887,19.77294563203413,18.73711786375144,-18.73711786375144,1.0
14fee784,4910,19.629811023270374,15.533952641933555,1.4959778765543392,0.5
84c3b497,5312,19.37029925549715,13.693947244403054,-7.652382328500718,1.0
5a1a8fd8,5260,19.303647622472898,17.873397600237354,17.567382245648503,1.0
4c2208f5,5384,19.17839266846056,15.80653558613156,-13.498582617130284,0.75
5cdd8dbc,4010,19.108881570935267,14.504322985853578,-11.470202438871516,1.0
30d75030,3404,19.075494327365885,14.623163947234188,12.505874410384191,1.0
e45a2a62,5007,19.063202832525892,15.709102053502255,-12.425794343623133,1.0
543198e8,6503,18.980853642703078,14.85182665411769,-5.503418380880068,1.0
ad2133a8,5729,18.885893208299663,15.218702817392389,2.673883243930122,0.75
9896fc0b,3595,18.800901797872683,12.590471663811769,10.846754252004338,1.0
939d9c34,5101,18.711967427526602,14.100868008799614,11.20120487765591,1.0
