well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
445af6c2,6041,68.9648438181218,61.017619633557324,60.99492204409897,203.34685971478146,36.555802721225376,134.38201589665965,-32.40904109689643,0.8039316269697978,1.0
2fd68f7b,4730,66.7729923238308,61.91984921439139,-61.91984921439139,113.33716913993246,58.8138195551637,46.56417681610165,-7.959172768667109,0.849479931947803,1.0
5f4d2a52,5225,66.04497370392214,55.26476084135689,-55.26269451394893,116.71398135965931,59.49182238446869,50.669007655737175,-6.553151319453448,0.8847728332626807,1.0
fef8af96,3826,63.74057358269025,53.92508950104807,53.91238522957225,110.58397961644441,48.17731660201433,46.84340603375416,-15.563256980675924,0.7499303942151744,1.0
94d813a4,4847,61.38097295809209,51.74364636573029,51.74364636573029,176.01798512216723,39.89055006197875,114.63701216407514,-21.490422896113337,0.841081802900537,1.0
86454a6f,7964,59.67165863537411,55.97037263864342,-55.94048019904998,29.617770637772463,64.34027269156081,-30.053887997601645,4.668614056186705,0.87594554012541,0.0
ba48188d,4166,58.44875965215509,46.08719805782125,46.08719805782125,74.5767650444761,52.959601323698735,16.128005392321015,-5.489158328456355,0.7457146790402677,1.0
96ae5806,9839,58.182620599970406,50.45238240413134,50.415561762687794,120.67567908927501,17.23050267183825,62.4930584893046,-40.952117928132154,0.6018817795219564,1.0
91b301ce,6570,55.69086507300399,40.29551558171247,34.60756867724692,140.95390865002008,35.44789282080843,85.26304357701609,-20.242972252195564,0.7875510171024924,1.0
1b1eba53,4655,55.50018529507971,52.525759418936474,-52.525759418936474,21.9862875814792,69.35344241005299,-33.513897713600514,13.853257114973282,0.7259481905557277,0.0
fbd68d27,6829,53.03057519501613,47.615552680111854,47.57321603060733,178.68713782298775,28.77799286145607,125.65656262797162,-24.252582333560056,0.8361679715932266,1.0
35b30c7f,9579,51.09471057930699,46.46935834035441,46.46935834035441,128.56432176816733,28.66720099146687,77.46961118886034,-22.42750958784012,0.7722883665677391,1.0
521a7819,5200,50.66653026835808,46.15461356998455,46.14651133322846,263.9313763170568,30.230712743188306,213.2648460486987,-20.435817525169774,0.9101669056011976,1.0
bd4ae5da,5006,50.155720322479596,45.22081036042859,45.22081036042859,128.4716229687259,15.519917579216049,78.31590264624631,-34.63580274326355,0.6879443655267353,1.0
c8d9680c,6281,49.14518561439661,45.26038472833342,-44.12452850825153,113.67750540972983,42.81860083377379,64.53231979533322,-6.326584780622817,0.9087698661488431,1.0
ab18d3fc,5694,48.7317229047212,40.989040761791586,40.62321208096703,180.25841038596192,23.41429819561493,131.5266874812407,-25.317424709106273,0.8371582437325654,1.0
684a6fc1,9818,48.40091388480906,38.904498004293984,34.73775392197217,264.7422663360184,15.243796792665835,216.34135245120936,-33.157117092143224,0.8043722914094347,1.0
6a0ff78e,6465,48.28691112652802,41.213160850530315,37.01374156720365,155.7633638509627,16.0156402300313,107.47645272443467,-32.271270896496716,0.7568545043359951,1.0
