well,split,rows,known_rows,target_rows,known_ratio,target_ratio,gr_missing_rate,baseline_slope_median,baseline_slope_std,baseline_confidence,gr_std,gr_volatility,gr_quality_score,typewell_rows,typewell_has_geology,typewell_quality_score,risk_score,route_suggestion
000d7d20,train,5278,1442,3836,0.27320954907161804,0.726790450928382,0.47340980187695514,0.1500000000014552,0.42157942660054093,0.10092017861020933,18.624408306602135,7.983074978817411,0.1453726235701448,1296,1.0,0.4955475558923835,1.0,typewell_alignment
00bbac68,train,7559,1545,6014,0.20439211535917448,0.7956078846408255,0.13834386431659462,0.4099999999998545,0.43725178922783725,0.08319010581936656,17.15613428634214,8.51302168694669,0.2390977497229899,1946,1.0,0.5074414605106495,1.0,typewell_alignment
00e12e8b,train,6384,2083,4301,0.32628446115288223,0.6737155388471178,0.09718670076726342,0.47999999999956344,0.4140148956472362,0.16293036474356545,33.31853709967687,5.456543129797727,0.2865274091369157,2556,1.0,0.650375939849624,0.9613663104482504,typewell_alignment
015fe0d2,train,5950,1654,4296,0.2779831932773109,0.7220168067226891,0.3202979515828678,0.08999999999832653,0.35874434248561043,0.11898870672414999,19.978804630590915,7.940055092523145,0.19281014942077185,1265,1.0,0.46260504201680674,1.0,typewell_alignment
01869cd4,train,6850,1293,5557,0.18875912408759124,0.8112408759124088,0.5112470757603024,0.13000000000010914,0.34499348964941895,0.06438735459644888,20.82481129599514,5.9960636121412545,0.12222554384758508,1052,1.0,0.4035766423357664,1.0,typewell_alignment
01982c1d,train,5587,1646,3941,0.29461249328799,0.70538750671201,0.15808170515097691,0.42000000000007276,0.45506898358891784,0.13217526289259482,21.306286743517802,3.3342489583571866,0.1682567577316121,2213,1.0,0.6460980848398067,1.0,typewell_alignment
028d7b28,train,7761,1527,6234,0.19675299574797062,0.8032470042520293,0.23307667629130574,0.18000000000029104,0.3815514049552806,0.07831823697625605,20.259067194384766,6.8006975492420345,0.20141946603476635,1774,1.0,0.47857879139286175,1.0,typewell_alignment
02e7fe5a,train,6888,1780,5108,0.2584204413472706,0.7415795586527294,0.6366483946750195,0.46999999999934516,0.4162832861668875,0.08386231875054327,14.277940543855204,7.313980391271205,0.085575384188079,1006,1.0,0.3960511033681765,1.0,baseline_fallback
0390d174,train,6101,1690,4411,0.27700376987379116,0.7229962301262088,0.4978462933575153,0.07000000000152795,0.36126422147182047,0.10569674163425738,17.778082758385267,4.5646547559193476,0.101638979567813,1709,1.0,0.5301180134404195,1.0,gr_residual
03a935ae,train,4430,1644,2786,0.3711060948081264,0.6288939051918736,0.04055994256999282,0.2600000000002183,0.45263939691032506,0.1989916593649979,18.06036387871498,4.194073734260688,0.18877822537055222,1616,1.0,0.614785553047404,0.9111483262775003,typewell_alignment
044af7d1,train,6067,1548,4519,0.2551508158892369,0.7448491841107632,0.6589953529541934,0.20999999999912689,0.36954738145079175,0.08385362552041058,22.894733795190213,11.189643915420927,0.12510947783540577,1503,1.0,0.4977336410087358,1.0,typewell_alignment
0498acab,train,6432,1634,4798,0.25404228855721395,0.7459577114427861,0.47457273864110044,0.3999999999996362,0.4155128384882407,0.0917507257168481,14.126490338730655,6.075145425938585,0.11023121004073537,1914,1.0,0.5475746268656716,1.0,gr_residual
052d64df,train,4590,2145,2445,0.4673202614379085,0.5326797385620915,0.2752556237218814,0.36999999999898137,0.4017982891484028,0.26985325049037595,19.952104598276925,8.84111595771191,0.21852707892320122,2170,1.0,0.7227668845315904,0.8989606554400944,typewell_alignment
05948241,train,5428,1549,3879,0.28537214443625647,0.7146278555637435,0.5986078886310905,0.49500000000080036,0.4296505949831084,0.09785914251194136,19.403086640872804,8.20578018690006,0.11455124565456595,1900,1.0,0.6000368459837877,1.0,gr_residual
059c8f24,train,7998,1740,6258,0.2175543885971493,0.7824456114028507,0.43528283796740175,0.3600000000005821,0.410022481747997,0.07713713544541084,14.652871433605165,7.1601425402944665,0.13258615732466714,1634,1.0,0.45430107526881724,1.0,typewell_alignment
05a0ee4d,train,6098,1750,4348,0.2869793374877009,0.7130206625122991,0.35970561177552896,0.32999999999810825,0.42474479624729083,0.11584391908570585,21.161944818911124,8.307602619146033,0.19107294242941691,1843,1.0,0.5522302394227616,1.0,typewell_alignment
060ab2b8,train,7818,1560,6258,0.1995395241749808,0.8004604758250192,0.5749440715883669,0.6099999999987631,0.38192834443416857,0.06426513627096438,15.014446054810842,8.148514541761926,0.10915885894582371,1082,1.0,0.3883985674085444,1.0,gr_residual
06df5958,train,5039,1530,3509,0.3036316729509823,0.6963683270490176,0.18922770019948704,0.23999999999978172,0.3919757436894397,0.14180131102700597,15.389055034691813,7.944109086174832,0.20679864401224327,1234,1.0,0.4948898590990276,1.0,typewell_alignment
071d7b45,train,4720,1509,3211,0.3197033898305085,0.6802966101694915,0.15384615384615385,0.09000000000014552,0.30934388279385583,0.16565445070519758,13.977361147352704,6.313906969308671,0.18076947016372355,1088,1.0,0.4805084745762712,0.9728070877563408,typewell_alignment
0849b4e2,train,7436,1899,5537,0.2553792361484669,0.7446207638515331,0.2499548491963157,0.42999999999847205,0.428094456402085,0.105070976897389,16.307026754656043,5.068603343393887,0.15247741681467167,2288,1.0,0.5576923076923077,1.0,typewell_alignment
084d66f9,train,5632,1747,3885,0.31019176136363635,0.6898082386363636,0.6463320463320463,0.5100000000002183,0.48879437243170737,0.10221610306343124,18.932612507938558,9.742458278670837,0.11076102018270191,2060,1.0,0.6157670454545454,1.0,gr_residual
08fecf00,train,7405,1831,5574,0.24726536124240378,0.7527346387575962,0.28238249013275923,0.42000000000098225,0.44547317103687645,0.09758381936081771,14.799715326441348,4.890208349536598,0.13656432564118437,4437,1.0,0.8491897366644159,1.0,typewell_alignment
09053135,train,7715,1808,5907,0.23434867141931304,0.765651328580687,0.4218723548332487,0.3599999999987631,0.4146619117761676,0.08536128238994532,19.236624594087733,6.137795023616924,0.14047623265500186,1856,1.0,0.4905703175631886,1.0,typewell_alignment
09441b8d,train,7395,1907,5488,0.2578769438810007,0.7421230561189993,0.11716472303206997,0.4250000000001819,0.42237450727723774,0.11499394301933512,17.4102953074057,5.55158857780422,0.19408790779274923,2055,1.0,0.5278904665314401,1.0,typewell_alignment
0955cd6c,train,7125,1930,5195,0.27087719298245616,0.7291228070175438,0.6454282964388836,0.22999999999956344,0.4219334619268193,0.08847783567248348,19.324627811568195,10.13218905014684,0.11467653942022875,3602,1.0,0.7555438596491229,1.0,gr_residual
09ec2ca9,train,7824,1939,5885,0.24782719836400818,0.7521728016359919,0.5604078164825829,0.25,0.4059187176726215,0.08434330551849958,19.933275915167766,11.193458822376378,0.15317684187308794,1784,1.0,0.4780163599182004,1.0,typewell_alignment
0a57a29c,train,7194,1373,5821,0.19085348901862664,0.8091465109813734,0.5299776670675141,0.18999999999869033,0.39503166440693527,0.062137362338789665,14.683971641132034,7.58503043240217,0.11443889028077728,1395,1.0,0.44391159299416183,1.0,gr_residual
0bbf5e67,train,6031,1733,4298,0.2873486983916432,0.7126513016083568,0.5274546300604932,0.47000000000116415,0.4362652645730847,0.10334897824776697,13.367497444193555,7.543446248219825,0.11077209336550052,1609,1.0,0.5167882606532913,1.0,gr_residual
0be01c24,train,6385,1647,4738,0.25794831636648397,0.742051683633516,0.03503588011819333,0.39499999999861757,0.4581790706802798,0.11710685439481416,14.460782365028741,4.602963239736307,0.17604723822756105,2003,1.0,0.5637039937353172,0.9916521156347341,typewell_alignment
0c1b160c,train,6714,1660,5054,0.247244563598451,0.752755436401549,0.5209734863474476,0.05999999999949068,0.3933707177114865,0.08716098692672203,19.218712965739368,12.40771108302734,0.17641165833063469,1464,1.0,0.4680518319928507,1.0,typewell_alignment
0d99f8e4,train,7522,1699,5823,0.2258707790481255,0.7741292209518745,0.5399278722308088,0.17000000000007276,0.3514889852274983,0.07880402451717584,14.729103214627639,6.838935925130508,0.10528088765557517,1459,1.0,0.44396437117787824,1.0,gr_residual
0dc5e64d,train,6191,1312,4879,0.2119205298013245,0.7880794701986755,0.011477761836441894,0.31999999999789,0.3608866003185227,0.09823167282285732,31.9429040845634,4.570092286817748,0.28770445111405984,1573,1.0,0.5040785010499111,1.0,typewell_alignment
0dc835f3,train,5279,851,4428,0.1612047736313696,0.8387952263686305,0.03342366757000903,0.32000000000152795,0.18378501846010661,0.079817831622042,21.615359508306604,2.904691048624722,0.1867327056480302,1194,1.0,0.4761792006061754,1.0,typewell_alignment
0dd99dc5,train,9182,1840,7342,0.20039207144412982,0.7996079285558702,0.476436938163988,0.3400000000001455,0.4007974451402839,0.06814414476677644,18.274093877028104,8.443404638235664,0.1482108490851482,1992,1.0,0.46694619908516666,1.0,typewell_alignment
0e5e560d,train,4896,1643,3253,0.3355800653594771,0.6644199346405228,0.2846603135567169,0.43000000000120053,0.40283826852140076,0.1543959982706244,24.430811654141188,9.486422383122742,0.2449473454366579,1833,1.0,0.6243872549019608,1.0,typewell_alignment
109d9d70,train,5851,1636,4215,0.2796103230217057,0.7203896769782943,0.4132858837485172,0.20999999999912689,0.4031576831230068,0.10972811936937106,14.207503123721143,7.28423922370332,0.13757371107007857,2992,1.0,0.761365578533584,1.0,typewell_alignment
10a1281a,train,7353,1744,5609,0.23718210254317965,0.7628178974568204,0.04278837582456766,0.5600000000013097,0.4731013993092684,0.10327761344777071,14.773610434290427,4.946999088635895,0.18309069839069006,1896,1.0,0.5078539371685027,1.0,typewell_alignment
