id,well,row,route,confidence,baseline_tvt,input_tvt,residual_raw,residual_smoothed,residual_scaled,residual_clipped,residual_post,post_tvt,delta_from_input,window,step_cap,residual_low,residual_high,post_tvt_guarded
000d7d20_1442,000d7d20,1442,gr_residual,0.3880446849320338,11747.38,11749.201751489572,1.8217514895732165,1.8123078512762731,1.8166421647633186,1.8166421647633186,1.8166421647633186,11749.201751489572,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.196642164763
000d7d20_1443,000d7d20,1443,gr_residual,0.3880446849320338,11747.39,11749.202307851276,1.8123078512762731,1.8061151490419434,1.8089573918271418,1.8089573918271418,1.8089573918271418,11749.202307851276,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.198957391827
000d7d20_1444,000d7d20,1444,gr_residual,0.3880446849320338,11747.4,11749.199922446807,1.7999224468076136,1.7999224468076136,1.7999224468076136,1.7999224468076136,1.7999224468076136,11749.199922446807,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.199922446807
000d7d20_1445,000d7d20,1445,gr_residual,0.3880446849320338,11747.410000000002,11749.179764445884,1.7697644458821742,1.7697644458821742,1.7697644458821742,1.7697644458821742,1.7697644458821742,11749.179764445884,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.179764445884
000d7d20_1446,000d7d20,1446,gr_residual,0.3880446849320338,11747.420000000002,11749.16549878479,1.7454987847886514,1.7454987847886514,1.7454987847886514,1.7454987847886514,1.7454987847886514,11749.16549878479,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.16549878479
000d7d20_1447,000d7d20,1447,gr_residual,0.3880446849320338,11747.430000000002,11749.160693382231,1.7306933822292194,1.7306933822292194,1.7306933822292194,1.7306933822292194,1.7306933822292194,11749.160693382231,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.160693382231
000d7d20_1448,000d7d20,1448,gr_residual,0.3880446849320338,11747.440000000002,11749.163323489,1.7233234889972664,1.7306933822292194,1.7273108482281365,1.7273108482281365,1.7273108482281365,11749.163323489,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.16731084823
000d7d20_1449,000d7d20,1449,gr_residual,0.3880446849320338,11747.450000000004,11749.161547527665,1.7115475276605139,1.7306933822292194,1.7219060766305911,1.7219060766305911,1.7219060766305911,11749.161547527665,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.171906076635
000d7d20_1450,000d7d20,1450,gr_residual,0.3880446849320338,11747.460000000005,11749.206424835436,1.7464248354317533,1.7464248354317533,1.7464248354317533,1.7464248354317533,1.7464248354317533,11749.206424835436,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.206424835436
000d7d20_1451,000d7d20,1451,gr_residual,0.3880446849320338,11747.470000000005,11749.23438654237,1.7643865423651732,1.7643865423651732,1.7643865423651732,1.7643865423651732,1.7643865423651732,11749.23438654237,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.23438654237
000d7d20_1452,000d7d20,1452,gr_residual,0.3880446849320338,11747.480000000003,11749.245128618351,1.7651286183481716,1.7643865423651732,1.7647271303716583,1.7647271303716583,1.7647271303716583,11749.245128618351,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.244727130375
000d7d20_1453,000d7d20,1453,gr_residual,0.3880446849320338,11747.490000000003,11749.259846906112,1.7698469061087962,1.7643865423651732,1.766892666326509,1.766892666326509,1.766892666326509,11749.259846906112,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.25689266633
000d7d20_1454,000d7d20,1454,gr_residual,0.3880446849320338,11747.500000000004,11749.25152071987,1.7515207198666758,1.7515207198666758,1.7515207198666758,1.7515207198666758,1.7515207198666758,11749.25152071987,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.25152071987
000d7d20_1455,000d7d20,1455,gr_residual,0.3880446849320338,11747.510000000004,11749.254167244504,1.744167244500204,1.744167244500204,1.744167244500204,1.744167244500204,1.744167244500204,11749.254167244504,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.254167244504
000d7d20_1456,000d7d20,1456,gr_residual,0.3880446849320338,11747.520000000004,11749.245269320269,1.7252693202644878,1.7252693202644878,1.7252693202644878,1.7252693202644878,1.7252693202644878,11749.245269320269,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.245269320269
000d7d20_1457,000d7d20,1457,gr_residual,0.3880446849320338,11747.530000000004,11749.245825681974,1.7158256819693634,1.7158256819693634,1.7158256819693634,1.7158256819693634,1.7158256819693634,11749.245825681974,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.245825681974
000d7d20_1458,000d7d20,1458,gr_residual,0.3880446849320338,11747.540000000005,11749.255606719256,1.7156067192518094,1.7156067192518094,1.7156067192518094,1.7156067192518094,1.7156067192518094,11749.255606719256,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.255606719256
000d7d20_1459,000d7d20,1459,gr_residual,0.3880446849320338,11747.550000000005,11749.256795205943,1.7067952059387608,1.7067952059387608,1.7067952059387608,1.7067952059387608,1.7067952059387608,11749.256795205943,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.256795205943
000d7d20_1460,000d7d20,1460,gr_residual,0.3880446849320338,11747.560000000003,11749.253538614354,1.693538614350473,1.693538614350473,1.693538614350473,1.693538614350473,1.693538614350473,11749.253538614354,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.253538614354
000d7d20_1461,000d7d20,1461,gr_residual,0.3880446849320338,11747.570000000003,11749.257884325194,1.68788432519068,1.68788432519068,1.68788432519068,1.68788432519068,1.68788432519068,11749.257884325194,0.0,5,0.2890887094345497,-270.4330783795037,244.54077769165679,11749.257884325194
