well,rmse,mean_abs_error,bias,rows
a959858c,550.6567245644936,456.2400338529131,-90.00134519974584,4404
521a7819,281.19032367832745,156.87348284801686,-102.90982260303872,5200
f6d009f4,240.40170496659624,208.43687929914566,207.79516988140674,6715
b95e7121,194.93872909011787,108.41406194109842,-89.7290839016893,6306
eba6605e,163.95034760132685,93.009061674195,-87.85171849492855,4410
25050f63,145.90626825872144,116.05001603474334,-113.78859185539942,6124
155887bb,82.21092262212103,73.03991082828512,-72.71883776288523,5585
1b1eba53,74.42117237915895,70.1425826284061,-70.1425826284061,4655
684a6fc1,70.8079405656595,45.727017678328146,30.473764046216637,9818
86454a6f,61.120566636744734,55.56752116687656,-55.108804674274985,7964
2fd68f7b,57.018354345914524,52.602370932269,-51.8347909607243,4730
f88ddb26,56.19860391930862,51.12933651626497,51.12933651626497,4990
ba48188d,55.89096456241278,46.232135643028464,46.23213564302846,4166
5f4d2a52,54.100517965950104,44.93211583694511,-44.5142656745164,5225
389ae58f,51.906955583160716,49.72887677914097,-49.72887677914097,6463
c8d9680c,48.78949415924928,45.31421289279312,-45.263472981194205,6281
fb03ae90,48.72482636874172,39.8270952169977,-0.9357540394830266,6431
fef8af96,46.98786402060295,39.52794208469083,39.31402163104332,3826
57f05c51,46.46119954306233,40.00488161499554,-40.00488161499554,4771
884ecb5f,46.0557575680949,33.379305010580765,-32.783073607040194,6724
94d813a4,46.02024963440824,40.65064372355762,40.64874338290229,4847
43e16325,45.39295716431601,37.823521881499545,-37.82352188149954,3720
91db7070,43.70067959403655,36.20923289993603,-36.20915644972792,4073
8382f4b6,41.70412452986738,38.883065996927435,38.883065996927435,4967
9d5e14d4,41.580857765162435,39.22298951608127,39.22298951608127,5400
4f3eb9e9,39.09208347279303,29.27431101099099,-27.016808825443803,4697
03a935ae,36.83602181593034,32.13291601270607,32.12826733144911,2786
4c2208f5,36.266997038602796,34.534407989700576,-34.534407989700576,5384
708caea9,36.20205825623633,32.966068765264545,-32.526044131960326,6548
6d6d93af,35.687881567477476,32.432473907997064,32.432473907997064,3595
81bf5923,34.95846729264575,29.3583658520149,29.320229048726137,4543
206b6193,34.31353495542811,30.57132561021951,30.55241435092364,6535
3417285d,33.73686760564969,32.276272940790584,-32.276272940790584,5449
46dfcfca,33.01766439379791,31.2358888386493,-31.2358888386493,3606
7e721392,32.748239091244244,30.63594943906403,30.471927735190988,6174
ab112491,32.70789086594289,29.13979777034461,-29.13979777034461,5185
56b00794,32.47149916019208,29.807379032551523,-29.798802713889916,6065
89f1085d,32.28153720976121,30.880054815456354,30.878721731105998,5994
d9eca87b,32.22622431121398,26.378683332234004,26.378683332234008,6373
da3bfe4e,31.862908464254716,29.032356929195082,29.032356929195082,5549
ad2133a8,31.790322491033837,27.363351822076257,27.15796388170063,5729
ff0aea78,31.726189639426703,29.643159329662062,-29.611804931407743,3261
3f603129,31.461841695980393,28.57072038604313,-28.538955626239158,5051
125be846,31.131487948860794,28.92186906731052,28.92186906731052,6510
896d15b9,30.072009883145064,25.512567856041212,-25.268359983663178,4279
cf50c9d1,30.009363013354292,28.640816753473935,28.640816753473935,4858
46d24a09,30.003416850591872,27.94523748311635,-27.94523748311635,4449
276b012a,29.513817551881434,27.1374986391423,-27.1374986391423,4837
2bff06cf,29.390288059715363,26.267787027160715,-26.17459800874612,7624
f140c2fa,29.30819061207815,28.418600642064025,28.41860064206403,4082
cc8a1d57,29.06384553745214,26.702573431321703,26.702573431321703,6638
91b301ce,28.261277257644593,18.32777803310049,12.49310218327778,6570
1b1c5372,28.17112054252808,22.076488797637825,21.310692806808234,4261
445af6c2,28.169964964199732,25.618959507186442,25.618959507186442,6041
204cc64b,28.10184780733711,22.30349540840764,22.06155895036536,4805
27300fd5,27.879107467977214,27.144572964150786,-27.144572964150786,5467
95c8427f,27.62526720202684,26.157863280631943,26.157863280631943,6335
493b5b31,27.4970473843645,23.789753322053745,-22.833971845958335,4671
2fa01aa6,27.474003056068035,24.090310365637773,24.090310365637773,2174
5aa403d0,27.45946454785407,25.92012609919132,-25.92012609919132,3118
8bfa881d,27.40428773888841,22.128413809695473,-22.102291967549412,4089
53134831,27.099722982093944,25.727585358894014,25.727585358894014,5126
fd8f77fa,27.036756620697588,25.47170081244356,-24.851225280342614,5272
261785ee,26.80303833990683,24.548331192321168,24.54833119232117,3646
8d5d46d7,26.396974921977662,25.51492375667981,-25.51492375667981,5755
197f8a5a,26.230470377506613,22.65640993768228,-22.359313658675475,6310
77e4821c,26.07801641841938,23.739914863154752,-23.739914863154752,5393
44a94013,25.775775095764363,23.736198139232915,23.736198139232915,4903
230eaaa3,25.72978224566954,21.1810683319511,-14.567682774832509,4690
200d233d,25.67439541092173,24.668798610905018,-24.668798610905018,3926
137d1e44,25.56680884872504,21.810668074358343,-15.461850038332711,4554
42c538a1,25.539370543946312,22.617589685759135,-21.266620895551835,3279
14fee784,25.50695108131323,21.106266410736925,18.926102147484503,4910
f5d8aab6,25.48214893704434,24.03961037056643,24.03961037056643,4444
3407f5bf,25.476416695631073,18.00417477433837,18.00417477433837,3638
d7eb0be8,25.374555043940287,19.95130157174841,-18.46054526080899,5401
30d75030,25.27680936899287,21.298743757227744,21.298743757227744,3404
32fe84c9,25.24870602840368,22.874316036195278,22.874316036195275,6408
d924e971,25.096520571462268,19.169759262033605,-13.706418812419608,3184
8f201368,25.048646866056767,23.02105319808713,-22.854868194737673,6349
fbd68d27,24.67386268934799,22.65744687866168,22.562076140383354,6829
efe96181,24.652564365882466,23.923239321909932,23.864941191444974,4012
d84b621b,24.63855299804557,23.89051542330649,23.89051542330649,3994
9bd2bba3,24.19056809499679,17.583565165658232,-17.41401010413169,7439
5beded95,24.08714086691402,22.73746698086679,22.73746698086679,3057
015fe0d2,24.019268729311715,20.896384264594396,-20.756688036029036,4296
d463e527,23.524108364447226,22.750766364226855,22.750766364226855,4767
df71d1ff,23.50368354796152,20.672855730028562,20.67285573002856,6228
466fc788,23.211848275759728,17.26113803277685,-15.864609915036672,6197
c59b6c4a,23.194179461401344,20.72514053319224,20.72514053319224,5499
79507629,23.072805141989242,22.131520126728624,22.131520126728628,5302
11d0f5ac,22.948636182925963,19.909735041900365,-19.896016331227173,4883
c593337f,22.634407696034753,18.117400726411958,16.03004096138942,5208
e5864244,22.55279525214877,15.359231951552458,-12.375774845777034,4469
99529c45,22.518658158866263,21.321498615899348,21.32149861589935,5840
c66be2b8,22.370164793777633,17.33316323938728,17.301924804005015,4154
84c3b497,22.226884191223217,15.563418599222071,-10.223886455267454,5312
fa16d114,22.22109235670957,19.0350373901796,18.473218272737213,5686
46d41ff6,22.208853636648854,19.71138087996181,18.47619132157062,7901
bc4381e2,22.182300749199488,21.710602712900855,-21.710602712900855,4955
8cc800b3,22.152092335700672,20.853409333989745,20.677149087089607,6576
ee288beb,22.136902681368717,19.71028375932168,-13.565808062585917,4638
60e37807,22.085125844160967,15.580263417145963,-14.650535042317872,2699
f074d277,21.962440482396488,20.520896509475794,-20.520896509475794,2453
5b7b6324,21.958180943381553,19.077617613361344,-19.077617613361344,6564
2e63d9de,21.67619764630635,18.970738648662856,18.773220451187058,4699
93f5d2e6,21.393617032983368,14.745993644488317,14.745993644488317,3691
42669188,21.385991912890514,19.222712437706452,19.135490252304027,4282
3a86fe8d,21.368327822491338,19.39076892572604,19.379833049767992,5118
ab18d3fc,21.315762501946548,18.422908600441136,18.10413767882665,5694
4b831d20,21.15190045210143,18.859946021410384,18.859946021410384,7312
df73b8f3,21.11699063023999,16.566501540587716,16.566501540587716,5311
8a89da23,21.073881196149603,19.99200571085508,-19.94637912857343,3935
ac6f01d5,21.024712292742947,17.647257610429833,17.359334467503917,5004
f4d12d23,20.995166177905606,20.003342624240414,20.003342624240414,3701
bf70b410,20.990476206845024,15.53469507022714,15.534695070227139,6347
55efee7f,20.984520691934414,18.215005219405498,10.178602902556408,4801
bb682ebd,20.929667422004776,17.690428117175824,-17.58341318138016,4139
8b5be31b,20.836619006857894,17.86575217167382,17.695342040878856,5672
4a335117,20.746002260526623,14.505853354018148,6.442732910481236,5015
98bc6f66,20.737424196457457,19.653123927536633,-19.653123927536633,6063
b881d27e,20.67556073650367,20.0384615130904,-20.0384615130904,4009
ae8959c3,20.630617841449936,19.122886936982155,-18.9574236638191,4518
d90aa14c,20.62979277786884,17.225296804728924,-15.529116796613527,10018
8612b37f,20.548884549967855,15.279518007908875,-13.400741201356338,5165
96ae5806,20.530481479625845,19.485564522587442,19.485564522587442,9839
f5859199,20.445792799233416,18.96635912523632,-18.93292402588113,5790
7271dd80,20.37239786055718,17.555460140242264,12.057528582726823,4340
9af1ffd0,20.190903701876913,15.779002619724773,15.779002619724771,3525
a4f989c2,19.965608385210878,19.043792050373394,19.043792050373394,5385
ecdab904,19.91939566247984,18.403213908526585,-18.403213908526585,6147
bb337fa0,19.89356930697454,17.138622732039686,-17.062854812511507,6873
35b3ef6a,19.892213285896,18.92690164164847,18.92690164164847,3904
656a067b,19.87919822773579,16.659356709626145,8.617823009123963,3051
368131f9,19.871337800933055,16.14832159517898,-14.838673498973822,4991
3bbe1f5d,19.83020009256721,18.875925773571577,-18.875925773571577,6918
4a8ecc0b,19.828081827693744,17.241876365615102,-16.81984939711224,5809
5a1a8fd8,19.690886298673664,17.7770458027182,17.764584733524366,5260
8255c867,19.591226588907027,17.221227385747124,-17.166883599016696,3589
a0b83014,19.516311164577395,18.560927828778198,-18.560927828778198,5035
9da441ba,19.491551836692295,18.10720597742627,-18.10720597742627,5783
d0cb63ae,19.474752872169063,16.199423467650085,15.628930791725784,5223
460f859e,19.47017265476732,16.143046070090428,3.5998672107496126,3336
7bb17b96,19.39830543565247,18.655852737978865,-18.655852737978865,3922
9896fc0b,19.331818745671143,13.875366553257779,13.292543721669729,3595
b977be4a,19.304148380253782,17.93211711893746,5.950440012531726,5917
a612d5a0,19.29223882319153,18.261451678779885,-18.261451678779885,5329
f8afa78a,19.290826584056802,18.29830202369492,-18.29830202369492,6032
729f4217,19.266205356573096,18.4086799456548,18.40564829173682,6195
0849b4e2,19.048155574819802,13.544233231391246,13.536771331397393,5537
a08d9e63,18.987681477996944,15.88389617452348,-15.67991438718516,3685
05a0ee4d,18.98554765427472,15.43975497082479,15.43975497082479,4348
ef8e3ed0,18.924328273659892,17.03443117231482,16.684682955942232,5224
1550491d,18.886928501986322,17.745678162266355,17.745678162266355,4563
45fb3e21,18.789266385171132,15.350303968003411,10.856372666815219,3649
9a95e33f,18.754028244420056,16.500769199872412,15.178276288965208,6447
a5aa7973,18.686796801418094,16.204065515586915,15.070025917352002,4616
b5aa9634,18.63036229588176,16.56000526337721,16.56000526337721,7326
fde20ecf,18.617919707887268,17.863378104883697,-17.863378104883697,4667
577eec7c,18.468033759617917,15.460139129900313,-10.310818925612779,4539
19fb4f7b,18.402899866286013,16.05142208512716,-13.59730258522234,5620
91abc4c7,18.397118442208054,16.038397801376494,-7.196812263437018,5848
35b30c7f,18.362522547665115,16.991969320410067,16.78368517528612,9579
2ac7cb6b,18.178569462277228,14.135340608505935,5.409083611288064,4990
d011f41b,18.160158282151063,16.345035078226108,16.345035078226108,2267
f2d4c8c9,18.158105781881147,17.51288422272638,-17.51288422272638,6249
543198e8,18.128697701294115,13.827563780765946,-2.012074472952151,6503
0dc835f3,18.051363420703897,16.78233270138694,1.4508952054018627,4428
8478df29,17.952040535184295,17.482410273731926,17.482410273731926,4857
0dc5e64d,17.93144120489203,14.717045654442968,-13.107632902834846,4879
2364716c,17.91169710058929,16.503103070705517,-15.94313525762698,4316
122bd617,17.869358926386557,15.447845336090522,-14.502482949396141,4570
53f23031,17.799183119329577,16.912057683889376,-16.912057683889376,8550
9dede370,17.712246156445183,14.411016428389935,-14.283409775382598,6297
310c71a5,17.70952408954578,16.06836500051852,-16.02370399254479,5245
6e9ccd38,17.68128008794948,15.36779544479105,14.950091918978522,8282
28f4eda9,17.6567246247581,12.727566627244572,-11.596369193772235,5266
699ea575,17.645242785184834,13.950902431729613,-13.933852650004397,4120
e03b45fd,17.633667482677055,12.631785853645153,-9.750749923967788,5342
ee0300f7,17.63259787948954,16.333681792101952,-16.186314756551837,4544
c47e0767,17.612303677486338,15.453541659029153,-15.344110471224822,4356
47222616,17.54755795272443,15.38843153648079,-15.294837022874535,4406
1285a37b,17.54635862743633,16.889669609074605,16.889669609074605,5597
e201fd6d,17.53087741457216,14.125201243925465,10.685587904519917,5070
2043abc5,17.499372444278404,14.844152489539596,-14.33356244484261,6958
c2c6fc71,17.410319181117035,16.19379015993362,-16.19379015993362,7119
ab6fe95d,17.364953767518447,16.17911389673896,16.17911389673896,5491
727a3a10,17.363826292108516,15.714972137726512,15.713578369978753,4397
8ac2f237,17.360879187987255,13.048025104914927,12.686645969192814,5319
37d36812,17.355201535209257,14.996289502418078,-14.689032103533568,4367
b19b0395,17.314352962489775,15.797767017422796,15.222374139505659,5813
e45a2a62,17.194240821082435,14.046593625441455,-11.035354337691148,5007
7c607683,17.134293798345006,11.26575908838688,8.027084998110904,5328
