feature,importance
known_rows,0.0
dZ_dMD_roll_mean_500,0.0
dZ_dMD_roll_min_100,0.0
dZ_dMD_roll_max_100,0.0
dZ_dMD_roll_mean_200,0.0
dZ_dMD_roll_std_200,0.0
dZ_dMD_roll_min_200,0.0
dZ_dMD_roll_max_200,0.0
dZ_dMD_roll_std_500,0.0
dZ_dMD_roll_mean_100,0.0
dZ_dMD_roll_min_500,0.0
dZ_dMD_roll_max_500,0.0
curvature_roll_mean_25,0.0
curvature_roll_std_25,0.0
curvature_roll_min_25,0.0
curvature_roll_max_25,0.0
dZ_dMD_roll_std_100,0.0
dZ_dMD_roll_max_50,0.0
target_rows,0.0
Z_roll_min_500,0.0
Z_roll_mean_200,0.0
Z_roll_std_200,0.0
Z_roll_min_200,0.0
Z_roll_max_200,0.0
Z_roll_mean_500,0.0
Z_roll_std_500,0.0
Z_roll_max_500,0.0
dZ_dMD_roll_min_50,0.0
dZ_dMD_roll_mean_25,0.0
dZ_dMD_roll_std_25,0.0
dZ_dMD_roll_min_25,0.0
dZ_dMD_roll_max_25,0.0
dZ_dMD_roll_mean_50,0.0
dZ_dMD_roll_std_50,0.0
curvature_roll_mean_50,0.0
curvature_roll_std_50,0.0
curvature_roll_min_50,0.0
speed_roll_max_100,0.0
speed_roll_std_50,0.0
speed_roll_min_50,0.0
speed_roll_max_50,0.0
speed_roll_mean_100,0.0
speed_roll_std_100,0.0
speed_roll_min_100,0.0
speed_roll_mean_200,0.0
curvature_roll_max_50,0.0
speed_roll_std_200,0.0
speed_roll_min_200,0.0
speed_roll_max_200,0.0
speed_roll_mean_500,0.0
speed_roll_std_500,0.0
speed_roll_min_500,0.0
speed_roll_mean_50,0.0
speed_roll_max_25,0.0
speed_roll_min_25,0.0
speed_roll_std_25,0.0
speed_roll_mean_25,0.0
curvature_roll_max_500,0.0
curvature_roll_min_500,0.0
curvature_roll_std_500,0.0
curvature_roll_mean_500,0.0
curvature_roll_max_200,0.0
curvature_roll_min_200,0.0
curvature_roll_std_200,0.0
curvature_roll_mean_200,0.0
curvature_roll_max_100,0.0
curvature_roll_min_100,0.0
curvature_roll_std_100,0.0
curvature_roll_mean_100,0.0
Z_roll_max_100,0.0
Z_roll_min_100,0.0
Z_roll_std_100,0.0
MD_norm,0.0
baseline_tvt_step,0.0
row_position,0.0
MD,0.0
X,0.0
Y,0.0
Z,0.0
X_centered,0.0
dX,0.0
Y_centered,0.0
Z_centered,0.0
X_zscore,0.0
Y_zscore,0.0
Z_zscore,0.0
MD_centered,0.0
baseline_md_step,0.0
baseline_pred_delta_from_known_span,0.0
baseline_pred_delta_from_first_known,0.0
baseline_pred_delta_from_last_known,0.0
baseline_tail_window,0.0
gr_missing_rate,0.0
baseline_confidence,0.0
baseline_slope_std,0.0
baseline_slope_median,0.0
distance_from_last_known_md,0.0
distance_from_last_known_row,0.0
first_known_tvt,0.0
last_known_tvt,0.0
last_known_md,0.0
last_known_row,0.0
target_ratio,0.0
known_ratio,0.0
dMD,0.0
dY,0.0
Z_roll_mean_100,0.0
Z_roll_mean_25,0.0
well_Z_span,0.0
well_known_rows,0.0
well_target_rows,0.0
well_known_ratio,0.0
well_target_ratio,0.0
well_gr_missing_rate,0.0
Z_roll_std_25,0.0
dZ,0.0
Z_roll_min_25,0.0
Z_roll_max_25,0.0
Z_roll_mean_50,0.0
Z_roll_std_50,0.0
Z_roll_min_50,0.0
Z_roll_max_50,0.0
well_Y_span,0.0
well_X_span,0.0
well_MD_span,0.0
well_total_rows,0.0
path_length_norm,0.0
path_length_cum,0.0
inclination_change_proxy,0.0
trajectory_curvature_proxy,0.0
trajectory_speed_proxy,0.0
ddZ_dMD,0.0
ddY_dMD,0.0
ddX_dMD,0.0
dXYZ_norm,0.0
dXY_dMD,0.0
dZ_dMD,0.0
dY_dMD,0.0
dX_dMD,0.0
speed_roll_max_500,0.0
