feature,importance
baseline_pred_delta_from_last_known,0.6092077807477801
MD_norm,0.13033931628710727
path_length_norm,0.10367785183190671
row_position,0.07635601258206172
baseline_tvt,0.02855743056116958
known_rows,0.0066923488584831
last_known_row,0.006264274331252349
baseline_slope_median,0.006222254451505067
known_ratio,0.005863628186579468
target_ratio,0.005379140654130633
distance_from_last_known_row,0.004592694578711563
well_target_rows,0.004377578610668574
baseline_slope_std,0.0025424313644144443
target_rows,0.0021769594125515056
baseline_confidence,0.0019552005530722445
well_gr_missing_rate,0.0017299203627569749
Z_centered,0.0016329046015772046
gr_missing_rate,0.0015575424406186126
dZ_dMD,0.0008408806603484567
curvature_roll_std_25,2.1351424228927455e-05
speed_roll_std_25,1.2196556500183102e-05
curvature_roll_mean_25,3.009425752630083e-07
trajectory_speed_proxy,0.0
trajectory_curvature_proxy,0.0
speed_roll_mean_25,0.0
